datetime_utc, _conds, _dewptm, _fog, _hail, _heatindexm, _hum, _precipm, _pressurem, _rain, _snow, _tempm, _thunder, _tornado, _vism, _wdird, _wdire, _wgustm, _windchillm, _wspdm
20170101-01:30,Fog,9,1,0,,100,,-9999,0,0,9,0,0,0.4,0,North,,,0
20170101-02:00,Fog,9,1,0,,100,,1017,0,0,9,0,0,0.3,0,North,,,0
20170101-03:00,Patches of Fog,9,1,0,,100,,1018,0,0,9,0,0,0.5,,,,,0
20170101-03:30,Fog,10,1,0,,100,,1018,0,0,10,0,0,0.3,0,North,,,0
20170101-04:00,Fog,13,1,0,,100,,1018,0,0,13,0,0,0.4,0,North,,,0
20170101-04:30,Fog,13,1,0,,100,,1018,0,0,13,0,0,0.6,0,North,,,0
20170101-05:00,Fog,14,1,0,,82,,1019,0,0,17,0,0,0.6,90,East,,,5.6
20170101-05:30,Fog,15,1,0,,88,,1019,0,0,17,0,0,0.8,40,NE,,,3.7
20170101-06:00,Smoke,15,0,0,,66,,1018,0,0,20,0,0,0.5,110,ESE,,,5.6
20170101-06:30,Smoke,15,0,0,,73,,1018,0,0,20,0,0,0.8,80,East,,,3.7
20170101-07:00,Smoke,15,0,0,,68,,1017,0,0,21,0,0,1,60,ENE,,,3.7
20170101-07:30,Smoke,16,0,0,,69,,1017,0,0,22,0,0,1.2,100,East,,,9.3
20170101-08:30,Smoke,16,0,0,,65,,1016,0,0,23,0,0,1.4,60,ENE,,,11.1
20170101-09:00,Haze,16,0,0,,62,,1015,0,0,22,0,0,2,70,ENE,,,7.4
20170101-09:30,Haze,17,0,0,,69,,1015,0,0,23,0,0,3,70,ENE,,,7.4
20170101-10:30,Haze,17,0,0,,69,,1015,0,0,23,0,0,3,40,NE,,,5.6
20170101-12:00,Mist,17,0,0,,73,,1014,0,0,20,0,0,2,,,,,0
20170101-13:00,Mist,17,0,0,,100,,1015,0,0,17,0,0,3,0,North,,,0
20170101-15:00,Mist,14,0,0,,94,,1017,0,0,14,0,0,2,,,,,0
20170101-18:00,Mist,13,0,0,,98,,1017,0,0,13,0,0,2,,,,,0
20170101-21:00,Mist,12,0,0,,99,,1018,0,0,12,0,0,0.5,,,,,0
20170102-00:00,Patches of Fog,11,1,0,,100,,1017,0,0,11,0,0,0.5,,,,,0
20170102-02:00,Fog,11,1,0,,100,,1018,0,0,11,0,0,0.4,0,North,,,0
